cell_id,lat,lon
0,40.27414872734404,-124.3495909345701
1,40.51414820713688,-124.34959091393235
2,40.754147678098626,-124.34959089326851
3,41.71414547214202,-124.34959081038144
4,40.034149250860956,-124.10959096315013
5,40.27414873947559,-124.10959094620476
6,40.514148219331425,-124.1095909292367
7,40.754147690355495,-124.1095909122472
8,40.99414715247389,-124.10959089523745
9,41.23414660561177,-124.10959087820858
10,41.474146049693154,-124.10959086116185
11,41.71414548464109,-124.10959084409845
12,41.95414491037751,-124.10959082701956
13,39.07415121974222,-123.86959102404514
14,39.31415074273429,-123.86959101084526
15,39.55415025724978,-123.86959099762386
16,39.79414976321928,-123.86959098438186
17,40.03414926057253,-123.86959097112025
18,40.27414874923843,-123.8695909578399
19,40.51414822914498,-123.86959094454178
20,40.75414770021923,-123.86959093122681
21,40.994147162387236,-123.86959091789596
22,41.23414661557413,-123.86959090455012
23,41.474146059703976,-123.86959089119024
24,41.71414549469977,-123.8695908778173
25,41.95414492048345,-123.86959086443221
26,38.834151695498,-123.62959102694965
27,39.074151226938824,-123.62959101740901
28,39.31415074997128,-123.62959100785213
29,39.554150264526754,-123.62959099827965
30,39.79414977053587,-123.62959098869227
31,40.03414926792834,-123.62959097909064
32,40.27414875663308,-123.62959096947546
33,40.51414823657805,-123.6295909598474
34,40.754147707690294,-123.62959095020715
35,40.99414716989589,-123.62959094055533
36,41.23414662311994,-123.6295909308927
37,41.474146067286476,-123.6295909212199
38,41.714145502318544,-123.62959091153763
39,41.95414492813802,-123.62959090184654
40,38.59415216055317,-123.38959102256985
41,38.83415170036249,-123.38959101667653
42,39.07415123183101,-123.38959101077276
43,39.31415075489091,-123.38959100485894
44,39.55415026947358,-123.38959099893545
45,39.79414977550962,-123.38959099300276
46,40.03414927292878,-123.38959098706121
47,40.274148761659916,-123.3895909811113
48,40.514148241631005,-123.3895909751534
49,40.7541477127691,-123.38959096918795
50,40.994147175000236,-123.38959096321538
51,41.23414662824954,-123.3895909572361
52,41.47414607244105,-123.38959095125048
53,41.714145507497754,-123.38959094525902
54,41.95414493334158,-123.3895909392621
55,38.35415261501376,-123.14959101092484
56,38.594152163111794,-123.14959100866615
57,38.83415170293589,-123.14959100640333
58,39.07415123441906,-123.14959100413644
59,39.31415075749348,-123.1495910018657
60,39.55415027209054,-123.14959099959127
61,39.79414977814083,-123.14959099731328
62,40.0341492755741,-123.1495909950319
63,40.27414876431921,-123.14959099274732
64,40.51414824430412,-123.14959099045967
65,40.75414771545588,-123.14959098816911
66,40.99414717770055,-123.1495909858758
67,41.234146630963224,-123.14959098357993
68,41.47414607516792,-123.14959098128163
69,41.714145510237685,-123.14959097898107
70,41.95414493609438,-123.14959097667843
71,37.63415392200993,-122.90959098931827
72,37.87415349453638,-122.9095909906752
73,38.11415305898568,-122.90959099203492
74,38.35415261529297,-122.90959099339737
75,38.59415216339263,-122.90959099476247
76,38.83415170321837,-122.90959099613008
77,39.07415123470313,-122.9095909975001
78,39.31415075777914,-122.90959099887247
79,39.55415027237778,-122.90959100024709
80,39.79414977842966,-122.90959100162387
81,40.03414927586446,-122.90959100300265
82,40.274148764611084,-122.90959100438342
83,40.51414824459753,-122.90959100576602
84,40.75414771575079,-122.90959100715037
85,40.994147177996936,-122.90959100853638
86,41.234146631261055,-122.90959100992397
87,41.47414607546724,-122.90959101131298
88,41.71414551053841,-122.90959101270339
89,41.95414493639653,-122.90959101409504
90,37.87415349257465,-122.66959096592147
91,38.11415305701213,-122.66959097089074
92,38.354152613307676,-122.66959097586997
93,38.59415216139569,-122.66959098085877
94,38.834151701209905,-122.66959098585683
95,39.07415123268323,-122.66959099086378
96,39.3141507557479,-122.66959099587923
97,39.554150270335306,-122.66959100090291
98,39.79414977637606,-122.6695910059344
99,40.034149273799855,-122.66959101097336
100,40.274148762535596,-122.66959101601945
101,40.51414824251122,-122.6695910210723
102,40.75414771365382,-122.66959102613156
103,40.99414717588942,-122.66959103119686
104,41.23414662914313,-122.66959103626787
105,41.47414607333899,-122.66959104134419
106,41.7141455084,-122.66959104642552
107,41.95414493424806,-122.66959105151149
